"";"Company";"Date.Made.Public";"Total.Records";"Type.of.breach";"Type.of.organization";"Gather.Information.Source";"year"
"1";"bullitt county public schools";2009-10-21;676;"DISC";"EDU";"Nonprofit organization";2009
"2";"roane state community college";2009-10-21;14783;"PORT";"EDU";"Nonprofit organization";2009
"3";"halifax health";2009-10-15;33000;"PORT";"MED";"Nonprofit organization";2009
"4";"suffolk community college";2009-10-04;300;"DISC";"EDU";"Nonprofit organization";2009
"5";"penrose hospital";2009-09-28;175;"PHYS";"MED";"Nonprofit organization";2009
"6";"eastern kentucky university";2009-09-23;5045;"DISC";"EDU";"Nonprofit organization";2009
"7";"bernard madoff investors";2009-09-22;2246;"PORT";"BSF";"Nonprofit organization";2009
"8";"sagebrush medical plaza kern medical center";2009-09-22;31000;"PHYS";"MED";"Nonprofit organization";2009
"9";"rocky mountain bank";2009-09-21;1325;"DISC";"BSF";"Nonprofit organization";2009
"10";"university of florida";2009-09-14;25;"DISC";"EDU";"Nonprofit organization";2009
"12";"bluegrass community and technical college";2009-09-02;100;NA;"EDU";"Nonprofit organization";2009
"13";"naval hospital pensacola";2009-09-02;38000;"PORT";"MED";"Nonprofit organization";2009
"15";"northern kentucky university";2009-08-15;200;"PORT";"EDU";"Nonprofit organization";2009
"16";"calhoun area career center";2009-08-14;455;"DISC";"EDU";"Nonprofit organization";2009
"17";"national finance center";2009-08-03;27000;"DISC";"GOV";"Media";2009
"19";"canyons school district";2009-07-14;6000;"PORT";"EDU";"Nonprofit organization";2009
"22";"at t";2009-07-08;2100;"INSD";"BSO";"Nonprofit organization";2009
"23";"florida department of revenue";2009-06-24;2828;"PORT";"GOV";"Nonprofit organization";2009
"24";"battle creek city";2009-06-24;65;"DISC";"GOV";"Media";2009
"25";"cornell university";2009-06-23;45277;"PORT";"EDU";"Nonprofit organization";2009
"26";"suncoast schools federal credit union";2009-06-18;56000;"HACK";"BSF";"Media";2009
"27";"redondo beach arco gas station";2009-06-16;1000;"INSD";"BSR";"Media";2009
"28";"kirkwood community college";2009-06-12;1600;"PORT";"EDU";"Nonprofit organization";2009
"29";"virginia commonwealth university";2009-06-05;17214;"STAT";"EDU";"Nonprofit organization";2009
"30";"maine office of information technology";2009-06-04;597;"PHYS";"GOV";"Nonprofit organization";2009
"31";"warren county virtual community school";2009-05-27;140;"PHYS";"EDU";"Nonprofit organization";2009
"32";"indianapolis department of workforce development";2009-05-23;4500;"DISC";"GOV";"Nonprofit organization";2009
"33";"nj department of labor and workforce development";2009-05-18;28000;"DISC";"GOV";"Nonprofit organization";2009
"35";"office of the state superintendent of education d c";2009-05-11;2400;"DISC";"EDU";"Nonprofit organization";2009
"36";"oklahoma housing finance agency";2009-04-29;225000;"PORT";"GOV";"Nonprofit organization";2009
"37";"llinois department on aging";2009-04-29;170;"DISC";"GOV";"Nonprofit organization";2009
"39";"oklahoma department of human services";2009-04-23;1e+06;"PORT";"GOV";"Nonprofit organization";2009
"40";"marian medical center";2009-04-22;3200;"PORT";"MED";"Nonprofit organization";2009
"41";"new york state tax department";2009-04-22;2000;"INSD";"GOV";"Media";2009
"42";"fairpoint communications inc";2009-04-20;4400;"PORT";"BSO";"Nonprofit organization";2009
"44";"moses cone hospital";2009-04-13;14380;"PORT";"MED";"Nonprofit organization";2009
"46";"peninsula orthopaedic associates";2009-04-11;1e+05;"PORT";"MED";"Nonprofit organization";2009
"48";"penn state erie behrend college";2009-04-09;10868;"HACK";"EDU";"Nonprofit organization";2009
"49";"metro nashville school public consulting group";2009-04-08;18000;"DISC";"EDU";"Nonprofit organization";2009
"50";"city of culpeper";2009-04-06;7845;"DISC";"GOV";"Nonprofit organization";2009
"51";"hawaii department of transportation";2009-04-08;1892;"PORT";"GOV";"Nonprofit organization";2009
"52";"policy studies inc tenn dept of human services";2009-04-03;1600;"INSD";"GOV";"Nonprofit organization";2009
"53";"palo alto medical foundation";2009-04-01;1000;"PORT";"MED";"Nonprofit organization";2009
"54";"state of maryland";2009-04-01;8000;"PHYS";"GOV";NA;2009
"56";"maryland federal court";2009-03-23;226;"DISC";"GOV";"Media";2009
"57";"bailey middle school";2009-03-19;21;"PHYS";"EDU";"Media";2009
"58";"university of west georgia";2009-03-18;1300;"PORT";"EDU";"Nonprofit organization";2009
"60";"penn state office of physical plant";2009-03-17;1000;"HACK";"EDU";"Nonprofit organization";2009
"61";"binghamton university";2009-03-11;1e+05;"STAT";"EDU";"Media";2009
"62";"idaho national laboratory";2009-03-07;59000;"PORT";"GOV";"Nonprofit organization";2009
"64";"federal emergency management agency region 5 office";2009-03-06;50;"PORT";"GOV";"Nonprofit organization";2009
"65";"st rita s medical center";2009-03-05;242;"PHYS";"MED";"Nonprofit organization";2009
"66";"elk grove unified school district";2009-03-04;520;"PHYS";"EDU";"Nonprofit organization";2009
"67";"new york police department";2009-03-04;80000;"INSD";"GOV";"Nonprofit organization";2009
"68";"western oklahoma state college";2009-03-03;1500;"DISC";"EDU";"Nonprofit organization";2009
"69";"city of muskogee";2009-03-01;4500;"PORT";"GOV";"Nonprofit organization";2009
"70";"steamboat springs school district";2009-02-26;1300;"PORT";"EDU";"Nonprofit organization";2009
"71";"university of florida";2009-02-23;101;"DISC";"EDU";"Nonprofit organization";2009
"73";"del mar college";2009-02-20;53;"PHYS";"EDU";"Nonprofit organization";2009
"74";"arkansas department of informationsystems information vaulting services";2009-02-20;807000;"PORT";"GOV";"Nonprofit organization";2009
"75";"university of florida";2009-02-19;97200;"HACK";"EDU";"Nonprofit organization";2009
"76";"rio grande food project";2009-02-18;36000;"PORT";"NGO";"Nonprofit organization";2009
"77";"broome community college";2009-02-17;14000;"DISC";"EDU";"Nonprofit organization";2009
"78";"semgroup lp";2009-02-10;160;"DISC";"BSO";"Nonprofit organization";2009
"79";"parkland memorial hospital";2009-02-09;9300;"PORT";"MED";"Nonprofit organization";2009
"80";"federal aviation administration";2009-02-09;48000;"HACK";"GOV";"Nonprofit organization";2009
"83";"catskill regional medical center";2009-02-06;431;"INSD";"MED";"Nonprofit organization";2009
"88";"st anthony central hospital";2009-02-02;150;"INSD";"MED";"Nonprofit organization";2009
"90";"ball state university";2009-01-31;19;"DISC";"EDU";"Nonprofit organization";2009
"91";"kansas state university";2009-01-30;45;"DISC";"EDU";"Nonprofit organization";2009
"92";"indiana department of administration";2009-01-30;8775;"DISC";"GOV";"Nonprofit organization";2009
"93";"citystage";2009-01-28;60;"DISC";"NGO";"Nonprofit organization";2009
"94";"beaumont city";2009-01-27;500;"DISC";"GOV";"Nonprofit organization";2009
"96";"madison wi human resources department";2009-01-26;500;"PORT";"GOV";"Nonprofit organization";2009
"97";"missouri state university";2009-01-21;565;"DISC";"EDU";"Nonprofit organization";2009
"98";"southwestern oregon community college";2009-01-16;200;"PORT";"EDU";"Nonprofit organization";2009
"102";"seventh day adventist church";2009-01-13;292;"PORT";"NGO";"Nonprofit organization";2009
"103";"continental airlines";2009-01-13;230;"PORT";"BSO";"Nonprofit organization";2009
"104";"blue ridge community action";2009-01-13;300;"PORT";"NGO";"Nonprofit organization";2009
"105";"columbus city schools";2009-01-12;100;"PHYS";"EDU";"Nonprofit organization";2009
"106";"university of rochester";2009-01-11;450;"HACK";"EDU";"Nonprofit organization";2009
"107";"library of congress";2009-01-05;10;"INSD";"GOV";"Nonprofit organization";2009
"109";"new hampshire s lakes region general hospital";2008-12-31;1500;"PHYS";"MED";"Nonprofit organization";2008
"110";"pulte homes las vegas division";2008-12-25;16000;"PHYS";"BSO";"Nonprofit organization";2008
"111";"federal emergency management agency";2008-12-24;16857;"DISC";"GOV";"Nonprofit organization";2008
"112";"cedars sinai medical center";2008-12-23;1000;"INSD";"MED";"Nonprofit organization";2008
"113";"ohio university chillicothe";2008-12-23;38;"PORT";"EDU";"Nonprofit organization";2008
"114";"university of north carolina school of the arts";2008-12-22;2700;"DISC";"EDU";"Nonprofit organization";2008
"115";"connecticut department of motor vehicles";2008-12-21;155;"PHYS";"GOV";"Media";2008
"116";"austin peay state university";2008-12-19;750;"PHYS";"EDU";"Nonprofit organization";2008
"117";"bill dube ford toyota";2008-12-18;10000;"PORT";"BSR";"Nonprofit organization";2008
"119";"louisiana department of revenue";2008-12-15;299;"DISC";"GOV";"Nonprofit organization";2008
"121";"hewlett packard symantec";2008-12-11;1000;"PORT";"BSR";"Nonprofit organization";2008
"122";"cal poly pomona";2008-12-05;675;"DISC";"EDU";"Nonprofit organization";2008
"124";"florida agency for workforce innovation";2008-12-02;259193;"DISC";"GOV";"Nonprofit organization";2008
"125";"weber state university";2008-11-25;70;"PHYS";"GOV";"Nonprofit organization";2008
"126";"maryland department of the environment";2008-11-22;1367;"PORT";"GOV";"Nonprofit organization";2008
"127";"jackson madison county school system";2008-11-21;200;"PORT";"EDU";"Nonprofit organization";2008
"128";"b j accessories and tax preparation";2008-11-21;70;"STAT";"BSO";"Nonprofit organization";2008
"129";"law office of former texas attorney";2008-11-20;627;"STAT";"BSO";"Media";2008
"131";"sinclair community college";2008-11-11;1000;"DISC";"EDU";"Nonprofit organization";2008
"132";"texas a m university";2008-11-09;1430;"DISC";"EDU";"Nonprofit organization";2008
"133";"city of charlottesville";2008-11-09;25000;"PORT";"GOV";"Media";2008
"135";"arizona s department of economic security";2008-11-07;40000;"PORT";"GOV";"Nonprofit organization";2008
"136";"harvard law school";2008-11-06;21000;"PORT";"EDU";"Nonprofit organization";2008
"137";"genesee intermediate school district";2008-11-03;6000;"PORT";"EDU";"Media";2008
"138";"seattle school district";2008-11-01;5000;"DISC";"EDU";"Nonprofit organization";2008
"139";"veterans affairs medical center";2008-11-01;1600;"DISC";"MED";"Nonprofit organization";2008
"140";"baylor health care system inc";2008-11-01;1e+05;"PORT";"MED";"Nonprofit organization";2008
"142";"medical mutual of ohio";2008-10-23;36000;"PORT";"MED";"Nonprofit organization";2008
"143";"krm management";2008-10-22;5700;"PORT";"BSO";"Nonprofit organization";2008
"144";"mary washington hospital";2008-10-19;803;"DISC";"MED";"Nonprofit organization";2008
"145";"city of goodyear";2008-10-18;570;"PHYS";"GOV";"Nonprofit organization";2008
"146";"the planet";2008-10-17;25000;NA;"BSO";"Media";2008
"147";"city of indianapolis";2008-10-15;3300;"DISC";"GOV";"Nonprofit organization";2008
"148";"southwest mississippi community college";2008-10-13;1000;"DISC";"EDU";"Nonprofit organization";2008
"149";"university of north dakota alumni association";2008-10-07;84554;"PORT";"EDU";"Nonprofit organization";2008
"150";"west virginia dept of administration";2008-10-07;535;"PORT";"GOV";"Nonprofit organization";2008
"151";"dormitory authority s";2008-09-30;3600;"PORT";"GOV";"Media";2008
"152";"university of indianapolis";2008-09-30;11000;"HACK";"EDU";"Nonprofit organization";2008
"153";"blue cross blue shield";2008-09-30;1700;"DISC";"MED";"Nonprofit organization";2008
"154";"fort wayne community schools";2008-09-26;3348;NA;"EDU";"Nonprofit organization";2008
"155";"sonoma state university";2008-09-22;600;"DISC";"EDU";"Nonprofit organization";2008
"156";"texas a m university";2008-09-19;31;"HACK";"EDU";"Nonprofit organization";2008
"157";"state farm insurance";2008-09-13;137;"INSD";"BSO";"Nonprofit organization";2008
"158";"tennessee state university";2008-09-12;9000;"PORT";"EDU";"Nonprofit organization";2008
"159";"marshall university";2008-09-11;198;"DISC";"EDU";"Nonprofit organization";2008
"162";"east burke high school";2008-09-05;163;"DISC";"EDU";"Nonprofit organization";2008
"163";"ohio police fire pension system";2008-08-30;13000;"INSD";"GOV";"Nonprofit organization";2008
"165";"louisiana real estate commission";2008-08-29;13000;"DISC";"GOV";"Nonprofit organization";2008
"166";"reynoldsburg ohio city school district";2008-08-28;4259;"PORT";"EDU";"Nonprofit organization";2008
"168";"kansas state university";2008-08-27;86;"PHYS";"EDU";"Nonprofit organization";2008
"169";"pennsylvania department of public welfare";2008-08-26;2845;"DISC";"GOV";"Nonprofit organization";2008
